loan_id,customer_id,branch_id,loan_type,loan_amount,tenure_months,interest_rate,disbursement_date,loan_status
LN000068,CUST05504,BR010,Personal Loan,892000,60,19.9,2022-10-25,Active
LN000069,CUST06015,BR019,Personal Loan,86000,12,11.23,2021-12-20,Active
LN000070,CUST04513,BR008,Two-Wheeler Loan,36000,12,23.79,2023-04-03,Active
LN000071,CUST01531,BR010,Consumer Durable,81000,24,19.87,2023-05-10,Written-Off
LN000072,CUST02461,BR033,Personal Loan,1339000,36,12.73,2022-08-16,Closed
LN000073,CUST00928,BR010,Personal Loan,183000,18,23.02,2021-10-31,Active
LN000074,CUST01752,BR031,Personal Loan,63000,60,21.92,2023-04-14,Closed
LN000075,CUST01990,BR006,Personal Loan,46000,48,14.86,2022-05-28,Active
LN000076,CUST06734,BR002,Personal Loan,107000,60,12.39,2022-11-03,Active
LN000077,CUST01752,BR003,Personal Loan,430000,60,21.68,2021-07-24,Closed
LN000078,CUST06956,BR016,Personal Loan,51000,60,18.57,2022-08-11,Active
LN000079,CUST06316,BR025,Personal Loan,899000,60,11.62,2021-07-22,Active
LN000080,CUST02372,BR005,Two-Wheeler Loan,337000,24,18.41,2023-04-25,Active
LN000081,CUST06394,BR028,Consumer Durable,800000,24,19.85,2021-07-15,Active
LN000082,CUST04261,BR020,Personal Loan,53000,24,11.37,2022-10-09,Active
LN000083,CUST07593,BR029,Personal Loan,1127000,60,14.61,2023-04-24,Active
LN000084,CUST02677,BR015,Consumer Durable,45000,18,13.13,2021-09-05,Active
LN000085,CUST07984,BR012,Two-Wheeler Loan,42000,12,16.28,2023-01-18,Written-Off
LN000086,CUST04423,BR011,Personal Loan,761000,24,12.1,2021-10-30,Active
LN000087,CUST01784,BR001,Two-Wheeler Loan,366000,48,23.17,2022-09-01,Active
LN000088,CUST05491,BR006,Consumer Durable,481000,18,11.46,2022-06-03,Written-Off
LN000089,CUST02887,BR025,Two-Wheeler Loan,796000,48,22.12,2021-08-25,Active
LN000090,CUST04965,BR004,Personal Loan,636000,60,20.25,2021-12-20,Closed
LN000091,CUST07965,BR017,Consumer Durable,789000,36,16.73,2023-05-08,Active
LN000092,CUST00547,BR030,Consumer Durable,61000,12,17.35,2023-12-15,Closed
LN000093,CUST04416,BR015,Two-Wheeler Loan,390000,36,15.23,2022-05-30,Active
LN000094,CUST02368,BR021,Consumer Durable,55000,24,11.58,2021-04-23,Active
LN000095,CUST04422,BR030,Personal Loan,120000,36,19.79,2022-11-14,Active
LN000096,CUST01476,BR008,Personal Loan,287000,24,21.58,2023-04-08,Active
LN000097,CUST02268,BR025,Personal Loan,1282000,36,12.44,2021-08-04,Active
LN000098,CUST06340,BR024,Personal Loan,40000,36,23.69,2022-01-17,Active
LN000099,CUST00695,BR019,Two-Wheeler Loan,62000,36,13.54,2021-12-10,Closed
LN000100,CUST04945,BR029,Personal Loan,1462000,36,20.87,2023-11-18,Closed
LN000101,CUST02240,BR012,Personal Loan,68000,12,11.99,2022-05-10,Active
LN000102,CUST01801,BR026,Personal Loan,38000,24,19.47,2023-08-24,Active
LN000103,CUST03674,BR014,Personal Loan,94000,48,15.9,2021-07-31,Active
LN000104,CUST01090,BR032,Consumer Durable,145000,60,15.04,2022-11-16,Active
LN000105,CUST03040,BR029,Personal Loan,72000,36,22.05,2021-11-18,Written-Off
LN000106,CUST00330,BR029,Personal Loan,48000,48,10.95,2021-11-08,Written-Off
LN000107,CUST05866,BR003,Personal Loan,72000,12,10.58,2021-11-13,Closed
LN000108,CUST06526,BR015,Two-Wheeler Loan,75000,60,21.73,2023-11-28,Active
LN000109,CUST00811,BR038,Two-Wheeler Loan,36000,60,20.97,2022-04-06,Closed
LN000110,CUST02578,BR021,Consumer Durable,50000,48,15.28,2021-03-25,Active
LN000111,CUST00387,BR011,Consumer Durable,1002000,18,16.03,2022-06-29,Active
LN000112,CUST05102,BR006,Consumer Durable,219000,12,24.0,2021-08-18,Closed
LN000113,CUST06829,BR004,Consumer Durable,370000,24,11.46,2022-04-26,Closed
LN000114,CUST05084,BR026,Two-Wheeler Loan,88000,12,14.81,2021-03-23,Active
LN000115,CUST07780,BR020,Consumer Durable,690000,48,16.16,2021-06-28,Active
LN000116,CUST00912,BR014,Consumer Durable,88000,60,20.77,2021-08-01,Closed
LN000117,CUST04788,BR036,Consumer Durable,50000,12,12.15,2022-02-25,Closed
LN000118,CUST04370,BR036,Personal Loan,290000,18,19.79,2022-02-20,Active
LN000119,CUST04771,BR032,Consumer Durable,53000,48,22.85,2022-01-25,Closed
LN000120,CUST07258,BR033,Personal Loan,440000,18,18.38,2023-11-25,Closed
LN000121,CUST02330,BR032,Personal Loan,439000,60,18.67,2022-07-28,Closed
LN000122,CUST07170,BR037,Consumer Durable,85000,18,11.73,2022-09-19,Active
LN000123,CUST02156,BR015,Consumer Durable,475000,36,17.72,2021-01-04,Closed
LN000124,CUST05620,BR010,Personal Loan,52000,60,22.87,2023-10-25,Closed
LN000125,CUST04570,BR014,Two-Wheeler Loan,103000,12,22.3,2021-11-22,Active
LN000126,CUST03455,BR016,Two-Wheeler Loan,50000,24,20.0,2023-05-17,Active
LN000127,CUST04808,BR004,Personal Loan,405000,48,23.74,2021-03-02,Closed
LN000128,CUST05676,BR035,Consumer Durable,518000,48,16.99,2021-12-21,Active
LN000129,CUST04728,BR040,Personal Loan,39000,18,15.71,2021-06-13,Active
LN000130,CUST01344,BR023,Personal Loan,441000,48,19.79,2022-11-24,Closed
LN000131,CUST05914,BR035,Consumer Durable,52000,36,18.54,2022-05-26,Active
LN000132,CUST01966,BR035,Consumer Durable,64000,60,22.45,2022-01-29,Closed
LN000133,CUST07416,BR016,Consumer Durable,46000,48,14.79,2022-12-19,Active
LN000134,CUST03580,BR032,Two-Wheeler Loan,47000,60,20.2,2023-12-16,Closed
LN000135,CUST00319,BR016,Consumer Durable,261000,12,14.81,2022-08-02,Closed
LN000136,CUST04862,BR003,Personal Loan,47000,24,11.27,2022-05-20,Closed
LN000137,CUST07847,BR019,Personal Loan,246000,18,15.01,2023-05-04,Active
LN000138,CUST02266,BR024,Personal Loan,85000,60,17.99,2021-02-14,Active
LN000139,CUST00146,BR033,Personal Loan,381000,24,14.24,2023-10-25,Active
LN000140,CUST01494,BR014,Personal Loan,1137000,24,13.12,2021-09-29,Written-Off
LN000141,CUST02461,BR011,Personal Loan,210000,24,16.16,2021-05-12,Closed
LN000142,CUST06293,BR002,Personal Loan,826000,12,20.29,2021-01-20,Active
LN000143,CUST02122,BR040,Personal Loan,1145000,12,15.33,2021-05-12,Active
LN000144,CUST07280,BR031,Consumer Durable,1296000,12,14.1,2021-01-11,Written-Off
LN000145,CUST05783,BR025,Personal Loan,459000,60,14.26,2023-12-10,Active
LN000146,CUST01555,BR033,Personal Loan,51000,24,12.58,2022-11-23,Written-Off
LN000147,CUST03885,BR027,Personal Loan,513000,48,17.69,2022-12-29,Active
LN000148,CUST07006,BR004,Consumer Durable,354000,48,15.28,2021-10-12,Active
LN000149,CUST05249,BR030,Consumer Durable,295000,36,16.47,2021-10-17,Active
LN000150,CUST05898,BR022,Personal Loan,397000,48,10.93,2022-01-30,Active
LN000151,CUST04655,BR006,Consumer Durable,36000,36,17.71,2023-10-07,Active
LN000152,CUST00368,BR002,Consumer Durable,480000,36,21.7,2023-08-02,Active
LN000153,CUST02803,BR035,Personal Loan,456000,24,13.74,2021-11-12,Active
LN000154,CUST04887,BR033,Two-Wheeler Loan,615000,48,12.39,2023-11-10,Written-Off
LN000155,CUST06278,BR035,Two-Wheeler Loan,192000,60,22.96,2022-06-22,Active
LN000156,CUST03382,BR003,Personal Loan,94000,36,13.56,2022-02-10,Closed
LN000157,CUST05856,BR036,Personal Loan,79000,60,12.48,2023-07-26,Active
LN000158,CUST04696,BR009,Consumer Durable,434000,12,22.94,2023-02-03,Active
LN000159,CUST05951,BR024,Personal Loan,322000,12,11.05,2021-03-17,Written-Off
LN000160,CUST05042,BR034,Personal Loan,669000,36,22.3,2021-06-13,Closed
LN000161,CUST00207,BR020,Personal Loan,1180000,12,22.42,2023-05-07,Active
LN000162,CUST00430,BR003,Consumer Durable,135000,48,17.88,2022-02-11,Active
LN000163,CUST01686,BR018,Personal Loan,831000,12,11.96,2022-12-25,Written-Off
LN000164,CUST06791,BR032,Two-Wheeler Loan,97000,36,10.56,2023-06-09,Active
LN000165,CUST03639,BR006,Two-Wheeler Loan,240000,36,18.67,2022-09-03,Closed
LN000166,CUST00985,BR008,Consumer Durable,69000,18,15.07,2022-11-06,Closed
LN000167,CUST06552,BR010,Two-Wheeler Loan,907000,24,22.54,2021-05-17,Active
LN000168,CUST00640,BR004,Personal Loan,326000,24,23.68,2021-06-24,Closed
LN000169,CUST03242,BR023,Two-Wheeler Loan,136000,60,16.44,2021-10-13,Active
LN000170,CUST00831,BR028,Two-Wheeler Loan,80000,48,21.54,2023-05-28,Active
LN000171,CUST00692,BR028,Personal Loan,349000,12,13.19,2022-08-13,Closed
LN000172,CUST07687,BR036,Personal Loan,1180000,24,15.89,2022-11-21,Active
LN000173,CUST06414,BR006,Two-Wheeler Loan,700000,18,17.62,2022-05-11,Closed
LN000174,CUST03805,BR011,Two-Wheeler Loan,1360000,18,11.38,2022-09-16,Closed
LN000175,CUST06973,BR040,Personal Loan,141000,48,20.94,2022-04-09,Active
LN000176,CUST05984,BR034,Personal Loan,741000,48,17.63,2022-01-31,Closed
LN000177,CUST02062,BR003,Consumer Durable,1359000,24,21.93,2021-03-06,Active
LN000178,CUST06672,BR015,Two-Wheeler Loan,240000,18,14.82,2023-04-19,Active
LN000179,CUST01719,BR021,Personal Loan,120000,36,13.04,2023-05-27,Closed
LN000180,CUST07373,BR030,Consumer Durable,380000,36,20.18,2023-03-02,Closed
LN000181,CUST00866,BR039,Personal Loan,512000,12,19.31,2022-04-20,Written-Off
LN000182,CUST07749,BR027,Personal Loan,1003000,36,15.93,2023-10-16,Written-Off
LN000183,CUST01826,BR011,Consumer Durable,854000,18,20.4,2023-12-20,Closed
LN000184,CUST04552,BR036,Personal Loan,269000,48,16.52,2022-06-28,Closed
LN000185,CUST03156,BR039,Personal Loan,937000,12,12.85,2021-06-05,Active
LN000186,CUST05008,BR035,Consumer Durable,33000,60,14.41,2023-01-01,Active
LN000187,CUST07554,BR001,Two-Wheeler Loan,1009000,48,20.44,2023-12-06,Active
LN000188,CUST03564,BR007,Personal Loan,971000,18,11.22,2021-12-30,Closed
LN000189,CUST00757,BR028,Personal Loan,213000,48,13.48,2022-11-27,Active
LN000190,CUST05875,BR025,Two-Wheeler Loan,28000,36,22.27,2022-12-27,Closed
LN000191,CUST03264,BR028,Personal Loan,1458000,36,19.41,2023-03-05,Active
LN000192,CUST04208,BR015,Personal Loan,217000,48,16.17,2022-09-15,Closed
LN000193,CUST06920,BR027,Two-Wheeler Loan,477000,12,15.44,2023-09-12,Active
LN000194,CUST04404,BR023,Personal Loan,334000,24,15.33,2021-12-10,Active
LN000195,CUST00573,BR018,Personal Loan,32000,12,18.99,2022-03-12,Active
LN000196,CUST02323,BR003,Personal Loan,611000,24,12.03,2023-08-04,Closed
LN000197,CUST07757,BR037,Consumer Durable,33000,24,20.01,2021-03-06,Active
LN000198,CUST06433,BR026,Two-Wheeler Loan,1033000,48,19.2,2022-01-05,Active
LN000199,CUST07257,BR015,Personal Loan,44000,48,17.76,2023-09-04,Closed
LN000200,CUST04793,BR027,Personal Loan,45000,36,15.56,2022-05-06,Active
LN000201,CUST01271,BR034,Consumer Durable,81000,18,15.95,2022-05-03,Closed
LN000202,CUST00157,BR021,Consumer Durable,364000,36,23.63,2022-05-18,Active
LN000203,CUST02169,BR034,Personal Loan,100000,36,14.73,2022-11-05,Active
LN000204,CUST01168,BR021,Two-Wheeler Loan,1370000,24,23.27,2022-12-02,Active
LN000205,CUST01637,BR036,Personal Loan,433000,36,15.54,2021-10-19,Active
LN000206,CUST00233,BR036,Consumer Durable,1037000,24,15.12,2022-03-06,Active
LN000207,CUST03200,BR026,Personal Loan,73000,24,16.45,2023-11-15,Written-Off
LN000208,CUST07508,BR037,Personal Loan,287000,24,20.53,2023-05-21,Written-Off
LN000209,CUST03734,BR033,Two-Wheeler Loan,655000,24,11.07,2023-09-04,Active
LN000210,CUST05323,BR034,Two-Wheeler Loan,798000,18,16.08,2023-07-27,Written-Off
LN000211,CUST03080,BR038,Personal Loan,703000,12,10.68,2021-04-04,Active
LN000212,CUST01827,BR021,Personal Loan,1049000,24,21.14,2022-03-02,Closed
LN000213,CUST04132,BR013,Two-Wheeler Loan,561000,12,13.24,2022-12-26,Active
LN000214,CUST03656,BR024,Personal Loan,390000,18,17.79,2022-12-19,Active
LN000215,CUST05565,BR006,Personal Loan,282000,60,19.29,2022-09-11,Written-Off
LN000216,CUST05079,BR009,Personal Loan,84000,60,23.5,2023-04-02,Closed
LN000217,CUST07355,BR016,Personal Loan,57000,24,13.88,2022-10-01,Active
LN000218,CUST05994,BR039,Personal Loan,1453000,36,22.5,2023-11-23,Active
LN000219,CUST05001,BR002,Personal Loan,74000,12,19.03,2022-02-02,Written-Off
LN000220,CUST05995,BR012,Personal Loan,98000,36,19.85,2022-09-24,Active
LN000221,CUST03119,BR028,Consumer Durable,682000,24,22.47,2023-01-06,Closed
LN000222,CUST05181,BR025,Two-Wheeler Loan,480000,60,13.53,2021-01-02,Closed
LN000223,CUST05032,BR013,Personal Loan,114000,24,16.51,2023-07-15,Active
LN000224,CUST00732,BR024,Consumer Durable,66000,60,17.89,2022-10-08,Written-Off
LN000225,CUST02942,BR015,Personal Loan,37000,18,23.88,2021-01-07,Active
LN000226,CUST07268,BR029,Personal Loan,87000,36,18.71,2021-06-24,Active
LN000227,CUST05743,BR034,Two-Wheeler Loan,738000,60,21.09,2021-04-24,Closed
LN000228,CUST00417,BR013,Two-Wheeler Loan,198000,48,15.01,2021-04-24,Closed
LN000229,CUST00552,BR034,Personal Loan,87000,60,19.13,2022-12-29,Active
LN000230,CUST06072,BR004,Consumer Durable,1108000,18,13.8,2023-11-10,Closed
LN000231,CUST03177,BR027,Personal Loan,75000,18,11.98,2023-12-27,Written-Off
LN000232,CUST05354,BR020,Personal Loan,659000,60,20.56,2022-03-09,Written-Off
LN000233,CUST02701,BR021,Personal Loan,254000,60,18.99,2022-05-02,Active
LN000234,CUST04385,BR015,Two-Wheeler Loan,35000,24,12.73,2023-06-13,Closed
LN000235,CUST04532,BR036,Personal Loan,80000,48,12.18,2021-01-05,Closed
LN000236,CUST06623,BR017,Two-Wheeler Loan,63000,24,14.64,2023-05-04,Active
LN000237,CUST03493,BR015,Personal Loan,136000,36,13.94,2023-12-23,Active
LN000238,CUST03194,BR021,Personal Loan,85000,18,11.35,2021-07-27,Active
LN000239,CUST02735,BR030,Personal Loan,482000,36,13.54,2021-06-27,Active
LN000240,CUST07262,BR025,Personal Loan,1183000,36,19.33,2023-07-09,Active
LN000241,CUST04254,BR026,Consumer Durable,358000,12,19.76,2021-02-13,Closed
LN000242,CUST06168,BR021,Personal Loan,181000,12,18.0,2021-11-11,Closed
LN000243,CUST04060,BR008,Consumer Durable,421000,12,16.27,2021-03-18,Closed
LN000244,CUST03002,BR024,Personal Loan,50000,18,12.79,2021-05-11,Active
LN000245,CUST00414,BR014,Consumer Durable,1196000,36,21.79,2022-06-08,Closed
LN000246,CUST07238,BR020,Personal Loan,1043000,36,16.09,2021-02-12,Active
LN000247,CUST00393,BR013,Consumer Durable,74000,12,11.52,2023-09-01,Closed
LN000248,CUST07495,BR008,Consumer Durable,811000,18,14.34,2022-07-27,Closed
LN000249,CUST03124,BR027,Personal Loan,1373000,36,18.88,2023-11-21,Active
LN000250,CUST02783,BR013,Two-Wheeler Loan,917000,24,21.64,2022-04-08,Active
LN000251,CUST06752,BR034,Consumer Durable,1001000,60,23.99,2022-02-15,Active
LN000252,CUST07208,BR034,Two-Wheeler Loan,55000,60,13.12,2021-10-25,Active
LN000253,CUST07694,BR033,Personal Loan,26000,12,23.33,2021-03-01,Active
LN000254,CUST04567,BR031,Personal Loan,429000,60,16.77,2022-03-04,Written-Off
LN000255,CUST07096,BR009,Personal Loan,77000,60,19.1,2023-02-05,Active
LN000256,CUST02301,BR007,Personal Loan,477000,18,23.96,2022-12-08,Active
LN000257,CUST00877,BR017,Two-Wheeler Loan,455000,18,19.45,2022-03-24,Active
LN000258,CUST00244,BR012,Consumer Durable,129000,48,16.45,2023-09-10,Closed
LN000259,CUST02686,BR024,Two-Wheeler Loan,260000,12,20.81,2021-12-20,Active
LN000260,CUST06231,BR013,Personal Loan,348000,48,13.81,2023-11-24,Active
LN000261,CUST07589,BR012,Personal Loan,1326000,48,13.01,2021-02-14,Written-Off
LN000262,CUST04275,BR004,Consumer Durable,190000,12,14.2,2021-01-15,Closed
LN000263,CUST05944,BR007,Personal Loan,43000,36,16.47,2022-05-11,Active
LN000264,CUST07872,BR035,Personal Loan,72000,60,16.82,2023-05-21,Closed
LN000265,CUST06456,BR016,Personal Loan,1240000,48,20.52,2021-02-11,Active
LN000266,CUST00945,BR029,Personal Loan,1229000,60,18.87,2021-04-02,Closed
LN000267,CUST01293,BR030,Personal Loan,438000,12,22.31,2022-12-01,Active
LN000268,CUST03364,BR013,Personal Loan,401000,60,16.39,2023-02-12,Written-Off
LN000269,CUST06984,BR019,Consumer Durable,777000,24,23.49,2021-10-25,Active
LN000270,CUST02929,BR019,Personal Loan,100000,24,18.09,2021-11-16,Closed
LN000271,CUST03521,BR032,Consumer Durable,57000,18,21.24,2023-07-28,Active
LN000272,CUST03754,BR013,Personal Loan,1134000,18,14.88,2021-10-01,Active
LN000273,CUST06163,BR025,Personal Loan,899000,48,20.76,2022-03-20,Closed
LN000274,CUST00681,BR030,Consumer Durable,473000,36,13.94,2022-02-15,Active
LN000275,CUST03525,BR033,Personal Loan,43000,24,18.35,2022-02-15,Active
LN000276,CUST02389,BR013,Personal Loan,55000,12,23.86,2021-05-28,Active
LN000277,CUST02983,BR003,Personal Loan,1318000,12,22.17,2021-10-10,Active
LN000278,CUST06768,BR028,Personal Loan,140000,60,23.7,2022-06-28,Written-Off
LN000279,CUST04944,BR018,Personal Loan,794000,48,20.81,2021-04-06,Closed
LN000280,CUST04254,BR021,Personal Loan,1125000,12,20.73,2022-07-02,Active
LN000281,CUST07467,BR020,Personal Loan,872000,24,20.88,2022-05-08,Written-Off
LN000282,CUST06754,BR020,Personal Loan,37000,12,19.02,2023-07-05,Closed
LN000283,CUST01184,BR001,Personal Loan,1180000,60,21.42,2022-02-08,Active
LN000284,CUST03027,BR013,Personal Loan,307000,12,11.66,2021-08-03,Closed
LN000285,CUST02261,BR008,Consumer Durable,1230000,18,21.45,2022-02-23,Active
LN000286,CUST04453,BR030,Personal Loan,175000,18,18.8,2023-05-21,Active
LN000287,CUST06850,BR015,Personal Loan,1198000,48,18.53,2021-02-25,Active
LN000288,CUST05268,BR011,Personal Loan,295000,24,22.35,2022-08-31,Closed
LN000289,CUST05014,BR012,Consumer Durable,265000,48,18.94,2021-06-23,Closed
LN000290,CUST04867,BR035,Personal Loan,85000,48,23.15,2023-07-03,Active
LN000291,CUST02742,BR027,Consumer Durable,48000,18,10.63,2023-08-19,Active
LN000292,CUST01646,BR008,Two-Wheeler Loan,1300000,24,11.98,2021-08-13,Closed
LN000293,CUST00364,BR039,Personal Loan,208000,12,11.16,2023-11-10,Closed
LN000294,CUST05534,BR008,Personal Loan,48000,18,12.36,2023-12-21,Active
LN000295,CUST06214,BR032,Two-Wheeler Loan,35000,36,16.73,2023-07-16,Active
LN000296,CUST00597,BR040,Personal Loan,270000,12,15.86,2023-11-21,Active
LN000297,CUST03599,BR039,Personal Loan,72000,36,19.97,2023-03-20,Active
LN000298,CUST06018,BR029,Consumer Durable,233000,18,12.41,2022-07-25,Active
LN000299,CUST00543,BR034,Personal Loan,1245000,12,11.84,2022-11-22,Closed
LN000300,CUST06114,BR035,Personal Loan,273000,36,15.49,2022-01-31,Active
LN000301,CUST07655,BR005,Consumer Durable,100000,24,16.71,2023-04-29,Closed
LN000302,CUST04866,BR034,Personal Loan,78000,48,21.44,2023-10-10,Active
LN000303,CUST06131,BR036,Two-Wheeler Loan,76000,60,13.16,2022-06-30,Closed
LN000304,CUST06588,BR012,Consumer Durable,96000,36,20.93,2023-09-13,Active
LN000305,CUST02875,BR031,Personal Loan,41000,48,13.3,2022-02-12,Active
LN000306,CUST01173,BR038,Personal Loan,66000,36,12.08,2022-10-26,Closed
LN000307,CUST04320,BR010,Personal Loan,78000,60,11.16,2021-01-24,Active
LN000308,CUST04955,BR001,Personal Loan,1206000,48,15.64,2023-06-23,Written-Off
LN000309,CUST04404,BR001,Personal Loan,1481000,48,19.74,2021-02-13,Closed
LN000310,CUST07160,BR001,Consumer Durable,775000,24,13.98,2023-04-19,Closed
LN000311,CUST06675,BR013,Personal Loan,312000,36,18.88,2021-01-19,Closed
LN000312,CUST02336,BR010,Consumer Durable,674000,18,12.12,2022-04-06,Active
LN000313,CUST01530,BR014,Personal Loan,812000,18,16.28,2022-04-27,Active
LN000314,CUST07813,BR006,Personal Loan,1362000,36,21.22,2023-03-24,Written-Off
LN000315,CUST00728,BR024,Personal Loan,61000,60,14.83,2023-06-10,Closed
LN000316,CUST05348,BR040,Two-Wheeler Loan,57000,36,21.46,2023-10-26,Closed
LN000317,CUST02798,BR007,Personal Loan,380000,12,18.3,2021-08-21,Written-Off
LN000318,CUST05019,BR004,Personal Loan,96000,24,12.02,2022-03-31,Active
LN000319,CUST07870,BR040,Personal Loan,155000,60,21.71,2022-12-10,Closed
LN000320,CUST00127,BR021,Personal Loan,1221000,24,12.75,2023-12-08,Active
LN000321,CUST03716,BR036,Consumer Durable,928000,24,13.56,2022-05-10,Active
LN000322,CUST07945,BR028,Personal Loan,124000,24,12.94,2023-05-17,Closed
LN000323,CUST00576,BR027,Consumer Durable,302000,60,22.3,2022-12-31,Closed
